snapshot,BECCS,Biogas,Biomass,CCGT,DSR,Hydro,Other RES,PV,Wind,Wind offshore,demand
2030-01-01 00:00:00,0.0,68.472625829391,139.93659816135002,4769.0,0.0,61.262630658,0.0,0.0,46.1764963026,787.266266063,2073.2147302134963
2030-01-01 01:00:00,0.0,68.47286245958101,139.94529342692002,4769.0,0.0,61.262630658,0.0,0.0,48.1462070234,779.010706854,2021.76092364994
2030-01-01 02:00:00,0.0,68.47178638481401,139.90575174427002,4769.0,0.0,61.262630658,0.0,0.0,53.9537605447,762.064836987,1951.7822758038005
2030-01-01 03:00:00,0.0,68.470362108109,139.85341495579002,4769.0,0.0,61.262630658,0.0,0.0,57.6675062059,761.752184193,1888.9850720896611
2030-01-01 04:00:00,0.0,68.470382133808,139.85415082455,4769.0,0.0,61.262630658,0.0,0.0,59.9973398102,778.292984929,1846.092410918265
2030-01-01 05:00:00,0.0,68.47031183952001,139.85156777502002,4769.0,0.0,61.262630658,0.0,0.0,60.1140829965,779.38233175,1857.9461672230457
2030-01-01 06:00:00,0.0,68.470434445836,139.85607309397002,4769.0,0.0,61.262630658,0.0,0.0,63.9801516416,769.286967719,1941.1450629183478
2030-01-01 07:00:00,0.0,68.47028772694401,139.85068172896,4769.0,0.0,61.262630658,0.0,0.0,69.8659997375,761.903374739,2069.4333598170715
2030-01-01 08:00:00,0.0,68.480144048689,140.21286431939,4769.0,0.0,61.262630658,0.0,0.0,71.2981641656,774.177067241,2268.069462565042
2030-01-01 09:00:00,0.0,68.483967730998,140.35337019973002,4769.0,0.0,61.262630658,0.0,16.0524787414,71.8133528455,796.084231598,2472.357538569472
2030-01-01 10:00:00,0.0,68.544554868125,142.57971861232002,4769.0,0.0,61.262630658,0.0,94.0108555131,70.7688933604,808.058408494,2605.0234281713792
2030-01-01 11:00:00,0.0,68.54835607260901,142.71939851751,4769.0,0.0,61.262630658,0.0,136.038385009,63.2789287001,767.135425167,2676.217369869138
2030-01-01 12:00:00,0.0,68.548119033731,142.71068823421,4769.0,0.0,61.262630658,0.0,145.153654252,57.18688152,736.375328977,2710.644745342605
2030-01-01 13:00:00,0.0,68.547846030334,142.70065639068002,4769.0,0.0,61.262630658,0.0,139.790145603,46.3967014449,694.690123497,2702.5859261693718
2030-01-01 14:00:00,0.0,68.548041791752,142.70784988327,4769.0,0.0,61.262630658,0.0,98.6914747475,45.2355584076,654.729547112,2685.763710144831
2030-01-01 15:00:00,0.0,68.54797640171701,142.7054470465,4769.0,0.0,61.262630658,0.0,33.9773735551,46.4542001369,609.111459535,2722.8396336318815
2030-01-01 16:00:00,0.0,68.548364655051,142.71971388984002,4769.0,0.0,61.262630658,0.0,0.0,52.7178290037,608.471176802,2829.1566029975493
2030-01-01 17:00:00,0.0,68.56558634688801,143.35254600736002,4769.0,0.0,61.262630658,0.0,0.0,62.5483479978,610.496473762,2911.2653401217817
2030-01-01 18:00:00,0.0,68.551171931,142.82287067608002,4769.0,0.0,61.262630658,0.0,0.0,75.5823910916,611.991233465,2907.6892558489412
2030-01-01 19:00:00,0.0,68.549165274295,142.74913362259002,4769.0,0.0,61.262630658,0.0,0.0,87.1616142939,613.8531197,2820.763970736401
2030-01-01 20:00:00,0.0,68.549786070942,142.77194555421002,4769.0,0.0,61.262630658,0.0,0.0,94.5096458547,613.926031046,2663.2814879285584
2030-01-01 21:00:00,0.0,68.550072152346,142.78245796509,4769.0,0.0,61.262630658,0.0,0.0,98.151042303,602.256692881,2481.8128389120966
2030-01-01 22:00:00,0.0,68.55020701929301,142.78741381594,4769.0,0.0,61.262630658,0.0,0.0,84.2911749258,628.364818976,2282.062478787245
2030-01-01 23:00:00,0.0,68.550280174395,142.79010198958002,4769.0,0.0,61.262630658,0.0,0.0,89.346626563,607.912222869,2115.482429020833
2030-01-02 00:00:00,0.0,68.55354967615601,142.91024382826,4266.3352817311625,0.0,61.262630658,0.0,0.0,91.1986655385,633.412101631,1980.349892761805
2030-01-02 01:00:00,0.0,68.553528833082,142.90947792404,4769.0,0.0,61.262630658,0.0,0.0,98.8735460842,707.631457956,1931.4548438464735
2030-01-02 02:00:00,0.0,68.55366002184,142.91429861531,3975.902253542929,0.0,61.262630658,0.0,0.0,108.196680105,790.36967293,1863.87661556889
2030-01-02 03:00:00,0.0,68.553794888788,142.91925446616003,4769.0,0.0,61.262630658,0.0,0.0,120.291566,880.482540902,1805.126583153799
2030-01-02 04:00:00,0.0,68.536564205822,142.28609195858002,3630.1194567386765,0.0,61.262630658,0.0,0.0,133.592889162,1017.19558253,1769.6706349463382
2030-01-02 05:00:00,0.0,68.50856950568401,141.25739248261002,4769.0,0.0,61.262630658,0.0,0.0,138.680071139,1170.54811099,1816.4453459695517
2030-01-02 06:00:00,0.0,68.55373808119501,142.91716700171003,3570.6862612151735,0.0,61.262630658,0.0,0.0,138.192852117,1287.31550577,1985.6055745449107
2030-01-02 07:00:00,0.0,68.510250846964,141.31917542315,3732.534569330964,0.0,61.262630658,0.0,0.0,136.980631624,1345.11625319,2202.400930765811
2030-01-02 08:00:00,0.0,68.556216772217,143.00824953316,4769.0,0.0,61.262630658,0.0,0.0,128.427853668,1384.36782089,2395.667641069177
2030-01-02 09:00:00,0.0,68.551757989191,142.84440610066002,4769.0,0.0,61.262630658,0.0,63.292690033,123.968586037,1422.24256799,2552.380211658742
2030-01-02 10:00:00,0.0,68.551733467928,142.84350503687,3860.6167761842808,0.0,61.262630658,0.0,201.727692944,106.543258162,1480.7627698,2638.9857859475087
