snapshot,BECCS,Biogas,Biomass,CCGT,DSR,Hydro,Nuclear,Other RES,PV,SCGT,Wind,Wind offshore,demand
2030-01-01 00:00:00,0.0,174.94195829391,167.3546567737,1015.0,0.0,3.71466112,1178.0,0.0,0.0,869.4875035556,14.1698475739,721.562518024,4201.766323428118
2030-01-01 01:00:00,0.0,174.94432459581,167.3930060127,1015.0,0.0,3.71466112,1178.0,0.0,0.0,869.524181235,14.7742784621,713.995952115,4097.485339659171
2030-01-01 02:00:00,0.0,174.93356384813998,167.21861301389998,1015.0,0.0,3.71466112,1178.0,0.0,0.0,869.3573896461,16.5564004238,698.464352377,3955.6602206331913
2030-01-01 03:00:00,0.0,174.91932108109,166.9877890105,1015.0,0.0,3.71466112,1178.0,0.0,0.0,869.1366267569,17.6960107053,698.177792992,3828.38967218192
2030-01-01 04:00:00,0.0,174.91952133808,166.9910344556,1015.0,0.0,3.71466112,1178.0,0.0,0.0,869.1397307402,18.4109498992,713.338129899,3741.4594875726166
2030-01-01 05:00:00,0.0,174.9188183952,166.979642281,1015.0,0.0,3.71466112,1178.0,0.0,0.0,869.1288351256,18.4467740368,714.336561903,3765.4833927290415
2030-01-01 06:00:00,0.0,174.92004445836,166.999512353,1015.0,0.0,3.71466112,1178.0,0.0,0.0,869.1478391045,19.633126571,705.083737789,3934.1018734799136
2030-01-01 07:00:00,0.0,174.91857726944,166.9757345002,1015.0,0.0,3.71466112,1178.0,0.0,0.0,869.1250976764,21.4392742227,698.316365462,4194.102652822002
2030-01-01 08:00:00,0.0,175.01714048688999,168.5730895902,1015.0,0.0,3.71466112,1178.0,0.0,0.0,870.6528275469,21.8787521665,709.565718888,4596.676720515164
2030-01-01 09:00:00,0.0,175.05537730998,169.19277090309998,1015.0,0.0,3.71466112,1178.0,0.0,14.0904289848,871.2454983048,22.036844392,729.644552896,5010.705593416787
2030-01-01 10:00:00,0.0,175.66124868125,179.0117656949,1015.0,0.0,3.71466112,1178.0,0.0,82.5201705451,880.6365045593,21.716338661,740.619387719,5279.578401946139
2030-01-01 11:00:00,0.0,175.69926072609,179.6278041612,1015.0,0.0,3.71466112,1178.0,0.0,119.410792194,881.2256912544,19.4179473566,703.111758894,5423.866546487224
2030-01-01 12:00:00,0.0,175.69689033730998,179.5893886886,1015.0,0.0,3.71466112,1178.0,0.0,127.411927471,881.1889502284,17.5485248827,674.918841937,5493.640209948283
2030-01-01 13:00:00,0.0,175.69416030334,179.5451446616,1015.0,0.0,3.71466112,1178.0,0.0,122.703985542,881.1466347017999,14.2374203339,636.712604572,5477.307470982455
2030-01-01 14:00:00,0.0,175.69611791751998,179.5768705433,1015.0,0.0,3.71466112,1178.0,0.0,86.6286907301,881.1769777216,13.8811087648,600.087062033,5443.21403157781
2030-01-01 15:00:00,0.0,175.69546401717,179.5662731715,1015.0,0.0,3.71466112,1178.0,0.0,29.8244138417,881.1668422662,14.2550645418,558.276173445,5518.355484340807
2030-01-01 16:00:00,0.0,175.69934655051,179.62919506629999,1015.0,0.0,3.71466112,1178.0,0.0,0.0,881.2270215329,16.1771390474,557.689327493,5733.827164615624
2030-01-01 17:00:00,0.0,175.87156346888,182.4202116164,1015.0,0.0,3.71466112,1178.0,0.0,0.0,883.8963837676,19.1937593385,559.545597013,5900.23623043983
2030-01-01 18:00:00,0.0,175.72741931,180.0841534821,1015.0,0.0,3.71466112,1178.0,0.0,0.0,881.6621493051,23.1934219092,560.915606909,5892.988611440995
2030-01-01 19:00:00,0.0,175.70735274294998,179.7589466366,1015.0,0.0,3.71466112,1178.0,0.0,0.0,881.3511175157,26.7466544179,562.622103653,5716.817889557957
2030-01-01 20:00:00,0.0,175.71356070942,179.8595554346,1015.0,0.0,3.71466112,1178.0,0.0,0.0,881.447340996,29.0014917382,562.688929957,5397.649506684417
2030-01-01 21:00:00,0.0,175.71642152345999,179.905918936,1015.0,0.0,3.71466112,1178.0,0.0,0.0,881.4916836136,30.1189007398,551.993492602,5029.868568664146
2030-01-01 22:00:00,0.0,175.71777019293,179.92777601519998,1015.0,0.0,3.71466112,1178.0,0.0,0.0,881.5125879905,25.8658234417,575.922684056,4625.036245203464
2030-01-01 23:00:00,0.0,175.71850174395,179.9396318249,1015.0,0.0,3.71466112,1178.0,0.0,0.0,342.62518724608276,27.4171533357,557.177022794,4287.429902231256
2030-01-02 00:00:00,0.0,175.75119676155998,180.4695004122,1015.0,0.0,3.71466112,1178.0,0.0,0.0,368.3289925391143,27.9854751463,580.548730083,4013.5579623024178
