snapshot,BECCS,Biogas,Biomass,CCGT,DSR,Hard coal,Hydro,Oil,Other RES,PV,SCGT,Wind,Wind offshore,demand
2030-01-02 06:00:00,0.0,126.77428066448999,141.34429803630002,5196.0,0.0,0.0,1.8889325,0.0,0.0,0.0,1581.0,41.3343650858,1685.00094809,2736.2143656099347
2030-01-02 07:00:00,0.0,125.88279236276999,138.5334881481,5196.0,0.0,0.0,1.8889325,0.0,0.0,0.0,1581.0,40.9717821905,1760.65785874,3034.963812979465
2030-01-02 08:00:00,0.0,126.82509383045,141.5045089432,5196.0,0.0,0.0,1.8889325,0.0,0.0,0.0,1581.0,38.4135916539,1812.03526272,3301.29019517017
2030-01-02 09:00:00,0.0,126.73368877841999,141.2163142203,5196.0,0.0,0.0,1.8889325,0.0,0.0,85.3445744556,1581.0,37.0797962118,1861.61051019,3517.2440544944757
2030-01-02 10:00:00,0.0,126.73318609252,141.2147292814,5196.0,0.0,0.0,1.8889325,0.0,0.0,272.011887965,1581.0,31.8677693009,1938.20913352,3636.5887116352246
2030-01-02 11:00:00,0.0,126.71843226147999,141.1682113248,5196.0,0.0,0.0,1.8889325,0.0,0.0,453.372125164,1581.0,26.1369010992,1963.23080794,3694.4959331225323
2030-01-02 12:00:00,0.0,126.72258779821999,141.1813134863,5196.0,0.0,0.0,1.8889325,0.0,0.0,570.104469753,1581.0,23.2356209398,1938.64927354,3710.391613507268
2030-01-02 13:00:00,0.0,126.73121723943,141.2085216041,5196.0,0.0,0.0,1.8889325,0.0,0.0,578.735436967,1581.0,22.7331214399,1880.39968695,3680.421568721773
2030-01-02 14:00:00,0.0,126.7260563309,141.1922495647,5196.0,0.0,0.0,1.8889325,0.0,0.0,450.888167356,1581.0,23.2495376081,1824.28016632,3649.264864251418
2030-01-02 15:00:00,0.0,126.74172337465,141.241646827,5196.0,0.0,0.0,1.8889325,0.0,0.0,218.834099667,1581.0,24.0789023868,1789.07792272,3694.532093772133
2030-01-02 16:00:00,0.0,127.05572611939999,142.2316789095,5196.0,0.0,0.0,1.8889325,0.0,0.0,0.0,1581.0,26.6850237763,1788.20268571,3854.176441943535
2030-01-02 17:00:00,0.0,127.06769842181,142.26942687090002,5196.0,0.0,0.0,1.8889325,0.0,0.0,0.0,1581.0,27.8658618672,1768.5388391,3975.155954031543
2030-01-02 18:00:00,0.0,127.21624210399,142.7377763152,5196.0,0.0,0.0,1.8889325,0.0,0.0,0.0,1581.0,28.9284003652,1746.97642309,3968.83546606662
2030-01-02 19:00:00,0.0,125.53011631644999,137.42152143313,5196.0,0.0,0.0,1.8889325,0.0,0.0,0.0,1581.0,30.254834181,1689.71396147,3854.23129789497
2030-01-02 20:00:00,0.0,124.92899614427999,135.52622508357,5196.0,0.0,0.0,1.8889325,0.0,0.0,0.0,1581.0,31.6942808841,1536.40800261,3642.613764633001
2030-01-02 21:00:00,0.0,125.32831306362,136.78524771263,5196.0,0.0,0.0,1.8889325,0.0,0.0,0.0,1581.0,32.424189464,1337.69185579,3377.525208216387
2030-01-02 22:00:00,0.0,125.75675225252,138.13609113520002,5196.0,0.0,0.0,1.8889325,0.0,0.0,0.0,1581.0,33.9106220646,1133.18695738,3067.4599374299323
2030-01-02 23:00:00,0.0,126.28785665752,139.8106319119,5196.0,0.0,0.0,1.8889325,0.0,0.0,0.0,1581.0,35.1655243845,1000.0599902,2801.6646494058136
2030-01-03 00:00:00,0.0,132.22339577384,158.5250356877,5196.0,0.0,0.0,1.8889325,0.0,0.0,0.0,1581.0,35.9771958815,917.832115317,2673.051796380639
2030-01-03 01:00:00,0.0,132.27584266896,158.6903976461,5196.0,0.0,0.0,1.8889325,0.0,0.0,0.0,1581.0,37.0868792196,867.672417581,2601.849263399278
2030-01-03 02:00:00,0.0,132.1792515741,158.38585163690001,5196.0,0.0,0.0,1.8889325,0.0,0.0,0.0,1581.0,39.0685663032,839.061549047,2509.6034462675552
2030-01-03 03:00:00,0.0,132.19834526003999,158.4460528993,5196.0,0.0,0.0,1.8889325,0.0,0.0,0.0,1581.0,41.5560812962,810.134449393,2428.94478042017
2030-01-03 04:00:00,0.0,132.39463572421,159.0649451232,5196.0,0.0,0.0,1.8889325,0.0,0.0,0.0,1581.0,43.3422657291,758.233155578,2382.4471048497726
2030-01-03 05:00:00,0.0,132.52986660825,159.4913201024,5196.0,0.0,0.0,1.8889325,0.0,0.0,0.0,1581.0,45.5691937299,723.534678232,2462.755725769389
2030-01-03 06:00:00,0.0,134.1095737917,164.4720434198,5196.0,0.0,0.0,1.8889325,0.0,0.0,0.0,1581.0,48.1461168161,690.02667311,2726.0642926587134
2030-01-03 07:00:00,0.0,134.0572274337,164.30699844920002,5196.0,0.0,0.0,1.8889325,0.0,0.0,0.0,1581.0,50.2776794856,684.631398393,3055.0578185801014
2030-01-03 08:00:00,0.0,134.51837471829998,165.76096856270001,5196.0,0.0,0.0,1.8889325,0.0,0.0,0.0,1581.0,55.0414320532,681.347188006,3325.137528604885
2030-01-03 09:00:00,0.0,134.22212516369999,164.826911239,5196.0,0.0,0.0,1.8889325,0.0,0.0,160.874390185,1581.0,58.1798876826,652.907367358,3528.215736763158
2030-01-03 10:00:00,0.0,134.1138717561,164.4855946474,5196.0,0.0,0.0,1.8889325,0.0,0.0,451.543316918,1581.0,67.060411983,506.146647318,3635.210425106561
