snapshot,EN_NorthEast,EN_NorthWest,EN_Yorkshire,EN_EastMidlands,EN_WestMidlands,EN_East,EN_London,EN_SouthEast,EN_SouthWest,EN_Wales,Scotland,NorthernIreland
2030-09-15 17:00:00,1642.3399353893692,4453.495273249448,3366.5408347266043,3028.102145224597,3496.48757731224,3834.517463575115,5568.6772811496285,5532.400581019486,3442.5048958874495,2197.4215819560172,3593.963182271641,1151.722281815929
2030-09-15 18:00:00,1646.9376212782631,4465.962711891631,3375.965374041931,3036.579234652449,3506.2758989918743,3845.2520907086973,5584.266641429829,5547.888385666355,3452.142094521676,2203.5732037863145,3604.0243842507657,1154.9464969549065
2030-09-15 19:00:00,1606.328798480547,4355.844704964534,3292.7236180249115,2961.7057807595693,3419.8210540587966,3750.439051801406,5446.574423116779,5411.093152231725,3367.0220360703047,2149.2393221637058,3515.1593381872144,1126.4687835128618
2030-09-15 20:00:00,1517.8431242009963,4115.900145581436,3111.341780238814,2798.5582774115323,3231.4379707385974,3543.8436594652176,5146.54630259804,5113.019540765883,3181.5474212482295,2030.847065989458,3321.524483023207,1064.416512546739
2030-09-15 21:00:00,1401.0063210688304,3799.07648485293,2871.8445481081853,2583.137726171136,2982.6962687792884,3271.054359062338,4750.388091265261,4719.442070228636,2936.646071573041,1874.5215043702678,3065.8483225992254,982.4824703890456
2030-09-15 22:00:00,1277.3285573158748,3463.7023491997866,2618.3244131774823,2355.10399596283,2719.3903871930597,2982.292858018895,4331.034254490178,4302.820080284866,2677.405400346824,1709.042859284304,2795.2019601648667,895.7510737944211
2030-09-15 23:00:00,1176.2737936336134,3189.6744803642205,2411.1779015758366,2168.7819440553044,2504.2481269158166,2746.3512921059773,3988.3881587926153,3962.4061250107507,2465.5847466363866,1573.8333853563504,2574.061931696215,824.8844885591847
2030-09-16 00:00:00,1142.7101930015026,3098.6608396754555,2342.3777526823815,2106.898281065973,2432.7923277044174,2667.987361478073,3874.5841549526294,3849.3434881978837,2395.2321618822084,1528.9258855093913,2500.6140769999965,801.3473718679264
2030-09-16 01:00:00,1125.7914400559546,3052.7826480485737,2307.6969466954433,2075.703940001136,2396.7728604656218,2628.4856406505655,3817.2177881468924,3792.350829973395,2359.768803418876,1506.2888954069035,2463.590453652596,789.4827728722823
2030-09-16 02:00:00,1097.115907580727,2975.023868891773,2248.916575497507,2022.8327654454808,2335.723597209001,2561.5343185252186,3719.9877429054914,3695.754182039251,2299.6620868914315,1467.9215436928343,2400.839249880906,769.3735074376415
2030-09-16 03:00:00,1072.6943118956228,2908.800391884843,2198.8561115512325,1977.8048849864092,2283.7308251335508,2504.515041866942,3637.181508866727,3613.487382550106,2248.472037316571,1435.2458836373971,2347.397015509506,752.2473965138602
2030-09-16 04:00:00,1068.992321552856,2898.7617901691647,2191.26760847088,1970.9792548857351,2275.8494097420744,2495.871674977151,3624.629180890903,3601.0168257050054,2240.7123040208685,1430.292686494651,2339.2958808379717,749.6513050026219
2030-09-16 05:00:00,1118.923796019774,3034.159816322669,2293.6193470536327,2063.041562870504,2382.151872727042,2612.451139861234,3793.9316873249973,3769.216424581863,2345.3735508232808,1497.1001100055935,2448.5618598255037,784.6667061801124
2030-09-16 06:00:00,1226.8672836363746,3326.8676787571403,2514.8866688020603,2262.064858457212,2611.9599991510763,2864.47642368101,4159.93535939433,4132.835795175666,2571.633642654522,1641.5265738631413,2684.776611656453,860.3641407891578
2030-09-16 07:00:00,1327.477234784073,3599.689359715598,2721.1213840519663,2447.566776992158,2826.1552682069423,3099.3794461139546,4501.073230514132,4471.751351079692,2782.5219258520165,1776.140896542373,2904.943248540461,930.9187927295579
2030-09-16 08:00:00,1404.073579667991,3807.393899158488,2878.131950065742,2588.7930549760554,2989.2263612146444,3278.2157611632942,4760.788236149096,4729.774464205349,2943.0753451460905,1878.6254417452292,3072.560461930646,984.6334441287831
2030-09-16 09:00:00,1451.8379605539535,3936.9154676971525,2976.041484646903,2676.859734175339,3090.915153411117,3389.735519465131,4922.742784629814,4890.673972809752,3043.194152163942,1942.5333326427963,3177.0841495236473,1018.1291294970281
2030-09-16 10:00:00,1474.8213201494991,3999.23891311583,3023.1537888236057,2719.2358336636826,3139.845968268075,3443.3968181047776,5000.672395708694,4968.095917706945,3091.3695184366065,1973.2846584267209,3227.379064974094,1034.2466498634203
2030-09-16 11:00:00,1479.493719601487,4011.90895080156,3032.7314792957927,2727.8506779471572,3149.7933526603583,3454.305885654912,5016.515087051746,4983.835403111838,3101.1633239956227,1979.5362456737203,3237.6037640400214,1037.5232593170674
