snapshot,BECCS,Biogas,Biomass,CCGT,DSR,Hydro,Oil,Other RES,PV,SCGT,Wind,Wind offshore,demand
2030-01-02 10:00:00,0.0,62.77870234194,168.80217657309998,60.0,0.0,0.0,0.0,0.0,16.5233886601,540.0,0.555989376054,0.0,6687.683561568311
2030-01-02 11:00:00,0.0,62.766179578039996,168.7285275318,60.0,0.0,0.0,0.0,0.0,27.5401339545,540.0,0.456004284358,0.0,6794.1748928529605
2030-01-02 12:00:00,0.0,62.76970671654,168.7492713844,60.0,0.0,0.0,0.0,0.0,34.6310516099,540.0,0.405386340868,0.0,6823.40703562149
2030-01-02 13:00:00,0.0,62.77703121786,168.79234833639998,60.0,0.0,0.0,0.0,0.0,35.155340555,540.0,0.396619351852,0.0,6768.292148636842
2030-01-02 14:00:00,0.0,62.7726507394,168.7665858098,60.0,0.0,0.0,0.0,0.0,27.3892456952,540.0,0.405629141663,0.0,6710.994995496491
2030-01-02 15:00:00,0.0,62.78594862043,168.8447934799,60.0,0.0,0.0,0.0,0.0,13.2930987243,540.0,0.420098871298,0.0,6794.2413922569585
2030-01-02 16:00:00,0.0,63.05246802329,170.4122508427,60.0,0.0,0.0,0.0,0.0,0.0,540.0,0.465567250073,0.0,7087.827213372016
2030-01-02 17:00:00,0.0,63.062629879979994,170.4720148858,60.0,0.0,0.0,0.0,0.0,0.0,540.0,0.486169050818,0.0,7310.308433667537
2030-01-02 18:00:00,0.0,63.188710859,171.2135239719,60.0,0.0,0.0,0.0,0.0,0.0,540.0,0.504706906763,0.0,7298.685061651651
2030-01-02 19:00:00,0.0,61.757560190549995,162.7966221315,60.0,0.0,0.0,0.0,0.0,0.0,540.0,0.527848881423,0.0,7087.928093420257
2030-01-02 20:00:00,0.0,61.24734111758,159.7959151137,60.0,0.0,0.0,0.0,0.0,0.0,540.0,0.552962564993,0.0,6698.763628929762
2030-01-02 21:00:00,0.0,61.58627352717,161.7892487892,60.0,0.0,0.0,0.0,0.0,0.0,540.0,0.56569710603,0.0,6211.265998132218
2030-01-02 22:00:00,0.0,61.94992435092,163.927956722,60.0,0.0,0.0,0.0,0.0,0.0,540.0,0.591630541357,0.0,5641.056227690682
2030-01-02 23:00:00,0.0,62.40071540687,166.5791549167,60.0,0.0,0.0,0.0,0.0,0.0,540.0,0.613524523054,0.0,5152.258918065332
2030-01-03 00:00:00,0.0,67.43868519341,196.2085280521,60.0,0.0,0.0,0.0,0.0,0.0,540.0,0.62768556222,0.0,4915.739990249572
2030-01-03 01:00:00,0.0,67.48320109463,196.4703355467,60.0,0.0,0.0,0.0,0.0,0.0,540.0,0.647045942953,0.0,4784.798592384605
2030-01-03 02:00:00,0.0,67.40121645802,195.9881664404,60.0,0.0,0.0,0.0,0.0,0.0,540.0,0.681619965212,0.0,4615.158612784642
2030-01-03 03:00:00,0.0,67.41742280608,196.0834794245,60.0,0.0,0.0,0.0,0.0,0.0,540.0,0.725019046453,0.0,4466.827394585641
2030-01-03 04:00:00,0.0,67.58403032201,197.0633337043,60.0,0.0,0.0,0.0,0.0,0.0,540.0,0.756182180558,0.0,4381.318208581634
2030-01-03 05:00:00,0.0,67.69881165774,197.738387182,60.0,0.0,0.0,0.0,0.0,0.0,540.0,0.795034862651,0.0,4529.005694454855
2030-01-03 06:00:00,0.0,69.03963629147,205.6240623776,60.0,0.0,0.0,0.0,0.0,0.0,540.0,0.839993825588,0.0,5013.229926018845
2030-01-03 07:00:00,0.0,68.99520572424,205.3627567504,60.0,0.0,0.0,0.0,0.0,0.0,540.0,0.877182691474,0.0,5618.248741626817
2030-01-03 08:00:00,0.0,69.3866185413,207.664738878,60.0,0.0,0.0,0.0,0.0,0.0,540.0,0.960294747192,0.0,6114.9250996837345
2030-01-03 09:00:00,0.0,69.13516769994,206.185902934,60.0,0.0,0.0,0.0,0.0,9.77233051972,540.0,1.01505063458,0.0,6488.3857525388485
2030-01-03 10:00:00,0.0,69.0432843198,205.6455172091,60.0,0.0,0.0,0.0,0.0,27.4290428193,540.0,1.16998702558,0.0,6685.148893809105
2030-01-03 11:00:00,0.0,69.4329762346,207.937378344,60.0,0.0,0.0,0.0,0.0,39.8460257863,540.0,1.16999506818,0.0,6777.301234559484
2030-01-03 12:00:00,0.0,69.4349389166,207.9489212943,60.0,0.0,0.0,0.0,0.0,44.0222059297,540.0,1.20227546568,0.0,6798.531734757102
2030-01-03 13:00:00,0.0,69.11734711712,206.0810962916,60.0,0.0,0.0,0.0,0.0,40.5875622956,540.0,1.25791613442,0.0,6744.6002657374875
2030-01-03 14:00:00,0.0,69.00338356552,205.4108523764,60.0,0.0,0.0,0.0,0.0,30.8205343461,540.0,1.31379340471,0.0,6694.125408595097
2030-01-03 15:00:00,0.0,69.2682674001,206.968690614,60.0,0.0,0.0,0.0,0.0,15.6643605212,540.0,1.3040802524,0.0,6791.5397974224115
2030-01-03 16:00:00,0.0,69.2167754447,206.6658554592,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.31254708401,0.0,7102.128204246859
2030-01-03 17:00:00,0.0,69.3122712974,207.2274869042,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.32765796501,0.0,7321.667617575022
