snapshot,BECCS,Biogas,Biomass,DSR,Hydro,Other RES,PV,Wind,Wind offshore,demand
2030-09-30 10:00:00,0.0,107.4894085285,129.66741972538,0.0,0.42811351,0.0,174.044268853,2.30294240822,0.0,3147.4860912052736
2030-09-30 11:00:00,0.0,106.05030169099,129.27136605135,0.0,0.42811351,0.0,205.500671234,2.47125836329,0.0,3167.9583144448684
2030-09-30 12:00:00,0.0,107.18880555063,129.58469138951,0.0,0.42811351,0.0,233.424995584,2.82944241452,0.0,3155.2162549994546
2030-09-30 13:00:00,0.0,108.69470953519999,129.99912817090998,0.0,0.42811351,0.0,227.798288967,3.50530896857,0.0,3119.4004448409605
2030-09-30 14:00:00,0.0,107.92458640574,129.78718414637999,0.0,0.42811351,0.0,194.234554924,4.17127413385,0.0,3100.5762249206327
2030-09-30 15:00:00,0.0,106.71964389992999,129.45557436315,0.0,0.42811351,0.0,151.579912276,4.69205110006,0.0,3168.6579063399654
2030-09-30 16:00:00,0.0,109.6665948443,130.26659875571,0.0,0.42811351,0.0,90.4410107925,4.67080840558,0.0,3331.9048204532564
2030-09-30 17:00:00,0.0,109.689623253,130.27293635736999,0.0,0.42811351,0.0,25.1190006761,4.92306467899,0.0,3461.5165037741353
2030-09-30 18:00:00,0.0,109.960112158,130.34737706031,0.0,0.42811351,0.0,0.0,4.95614609794,0.0,3460.6493279496403
2030-09-30 19:00:00,0.0,109.1204082277,130.1162838447,0.0,0.42811351,0.0,0.0,5.09123996167,0.0,3336.938587227479
2030-09-30 20:00:00,0.0,109.7331494761,130.28491512093,0.0,0.42811351,0.0,0.0,5.24986607927,0.0,3097.614818059779
2030-09-30 21:00:00,0.0,106.37316335509999,129.36022015512,0.0,0.42811351,0.0,0.0,5.16645886459,0.0,2806.3675827128545
2030-09-30 22:00:00,0.0,104.48445425247999,128.84043235357,0.0,0.42811351,0.0,0.0,5.14461977139,0.0,2521.603573109166
2030-09-30 23:00:00,0.0,104.59121370215,128.86981340519,0.0,0.42811351,0.0,0.0,4.64137034853,0.0,2306.673207088416
2030-10-01 00:00:00,0.0,104.69059225161,128.89716317423,0.0,0.42811351,0.0,0.0,4.26362549936,0.0,2314.3326447835793
2030-10-01 01:00:00,0.0,104.71609853396,128.90418270646,0.0,0.42811351,0.0,0.0,4.20034355137,0.0,2268.112144933936
2030-10-01 02:00:00,0.0,104.59009602297999,128.86950581097,0.0,0.42811351,0.0,0.0,3.93606830192,0.0,2210.264870891051
2030-10-01 03:00:00,0.0,104.96920014679999,128.97383828801,0.0,0.42811351,0.0,0.0,3.61912415634,0.0,2192.056876961958
2030-10-01 04:00:00,0.0,104.83761978408,128.93762632325,0.0,0.42811351,0.0,0.0,3.29542451261,0.0,2313.8421067393924
2030-10-01 05:00:00,0.0,107.41350124176,129.64652943495,0.0,0.42811351,0.0,0.0,3.00921269026,0.0,2823.237603592067
2030-10-01 06:00:00,0.0,109.7374831189,130.28610777399,0.0,0.42811351,0.0,0.0,2.69978661773,0.0,3437.554558235246
2030-10-01 07:00:00,0.0,109.815478146,130.30757262721,0.0,0.42811351,0.0,42.4049372429,2.43309450458,0.0,3657.6959323385995
2030-10-01 08:00:00,0.0,108.9742769474,130.07606735142,0.0,0.42811351,0.0,149.359193982,2.17560053871,0.0,3697.0239040004935
2030-10-01 09:00:00,0.0,109.4430906414,130.20508861732,0.0,0.42811351,0.0,258.567063158,2.42712982694,0.0,3674.5310162291403
2030-10-01 10:00:00,0.0,108.2958140546,129.88934895472,0.0,0.42811351,0.0,301.905987584,3.00923702796,0.0,3675.009624569879
2030-10-01 11:00:00,0.0,106.56015319021999,129.4116812484,0.0,0.42811351,0.0,332.100180011,3.27232730703,0.0,3679.323632569365
2030-10-01 12:00:00,0.0,106.54589750864,129.40775797119,0.0,0.42811351,0.0,371.966850485,3.19217678115,0.0,3627.008758500801
2030-10-01 13:00:00,0.0,106.30009244287,129.34011045757,0.0,0.42811351,0.0,386.73557546,3.24564985052,0.0,3586.808498284362
2030-10-01 14:00:00,0.0,106.96969825539,129.52439131517,0.0,0.42811351,0.0,343.861970376,3.90133766125,0.0,3587.448157621658
2030-10-01 15:00:00,0.0,107.87483913822,129.77349330178,0.0,0.42811351,0.0,252.780533139,4.09751638075,0.0,3743.735794015999
2030-10-01 16:00:00,0.0,109.4032126919,130.19411388772,0.0,0.42811351,0.0,143.577398253,4.13855467816,0.0,3874.480231083385
2030-10-01 17:00:00,0.0,109.5993126667,130.24808216406998,0.0,0.42811351,0.0,36.936178298,3.70047813334,0.0,3901.509246570816
2030-10-01 18:00:00,0.0,108.5215852483,129.95148298704999,0.0,0.42811351,0.0,0.0,3.28334024675,0.0,3862.4028265443967
2030-10-01 19:00:00,0.0,108.9700909226,130.07491532401,0.0,0.42811351,0.0,0.0,3.17132632807,0.0,3733.121766433381
2030-10-01 20:00:00,0.0,109.5211911099,130.22658248886,0.0,0.42811351,0.0,0.0,2.97312274986,0.0,3494.9066075647324
2030-10-01 21:00:00,0.0,105.94065314608,129.24118989769,0.0,0.42811351,0.0,0.0,2.69386354844,0.0,3127.793275257659
2030-10-01 22:00:00,0.0,104.27319179976,128.78229124243,0.0,0.42811351,0.0,0.0,2.93803380409,0.0,2691.8290796993715
2030-10-01 23:00:00,0.0,104.01832931500999,128.71215105489,0.0,0.42811351,0.0,0.0,2.45736299273,0.0,2415.234928674115
2030-10-02 00:00:00,0.0,104.31223676195,128.79303672728,0.0,0.42811351,0.0,0.0,2.08882406791,0.0,2454.6535092741074
2030-10-02 01:00:00,0.0,104.56557034595,128.86275614913,0.0,0.42811351,0.0,0.0,1.65818359901,0.0,2424.321954215303
2030-10-02 02:00:00,0.0,104.25756537957,128.77799072701998,0.0,0.42811351,0.0,0.0,1.29404342522,0.0,2351.4894104178156
2030-10-02 03:00:00,0.0,104.06437558827,128.72482335637,0.0,0.42811351,0.0,0.0,1.0002734886,0.0,2332.319229097476
2030-10-02 04:00:00,0.0,104.47674648381,128.83831111419,0.0,0.42811351,0.0,0.0,0.778931998735,0.0,2449.3030372773783
2030-10-02 05:00:00,0.0,106.17728480728,129.30631281725,0.0,0.42811351,0.0,0.0,0.665687041887,0.0,2937.650560678781
2030-10-02 06:00:00,0.0,109.0066685552,130.08498178012,0.0,0.42811351,0.0,0.0,0.655550301922,0.0,3569.6018893435626
2030-10-02 07:00:00,0.0,110.2011196386,130.41370424024998,0.0,0.42811351,0.0,42.9340599941,0.678434265513,0.0,3807.089904382958
2030-10-02 08:00:00,0.0,109.4278332662,130.20088966603998,0.0,0.42811351,0.0,143.254601172,0.67359668274,0.0,3813.671692199925
2030-10-02 09:00:00,0.0,108.02222517157,129.81405511309,0.0,0.42811351,0.0,233.74459814,0.865317634322,0.0,3797.671687550791
2030-10-02 10:00:00,0.0,108.971377308,130.07526934755,0.0,0.42811351,0.0,289.085268977,1.29303867572,0.0,3785.7161364113144
2030-10-02 11:00:00,0.0,105.97183217746,129.24977061568,0.0,0.42811351,0.0,263.556821064,1.87434472582,0.0,3794.410333860371
2030-10-02 12:00:00,0.0,106.69735358125,129.44943988976,0.0,0.42811351,0.0,202.790243936,3.01105246187,0.0,3743.8096445611573
2030-10-02 13:00:00,0.0,106.19752956218,129.31188433518,0.0,0.42811351,0.0,166.40080528,4.00183335007,0.0,3685.3131958222734
2030-10-02 14:00:00,0.0,106.16608692722,129.30323107139,0.0,0.42811351,0.0,123.488244424,5.21487702648,0.0,3670.356472143781
2030-10-02 15:00:00,0.0,105.92271755853,129.23625388102,0.0,0.42811351,0.0,79.8269507838,5.91740200496,0.0,3804.039876867915
2030-10-02 16:00:00,0.0,109.3084208447,130.16802641571,0.0,0.42811351,0.0,40.469850551,6.78794629593,0.0,3957.0130439874333
2030-10-02 17:00:00,0.0,109.088691445,130.10755513326,0.0,0.42811351,0.0,5.5560504967,7.73645262145,0.0,3977.1074932844867
2030-10-02 18:00:00,0.0,109.6507048206,130.2622256945,0.0,0.42811351,0.0,0.0,8.57737219333,0.0,3849.018835437221
2030-10-02 19:00:00,0.0,110.1520788287,130.40020781841,0.0,0.42811351,0.0,0.0,9.0297796005,0.0,3614.492227258678
2030-10-02 20:00:00,0.0,109.2908648463,130.163194865,0.0,0.42811351,0.0,0.0,9.50703675238,0.0,3308.967125167603
2030-10-02 21:00:00,0.0,107.72983608124,129.73358730454999,0.0,0.42811351,0.0,0.0,9.82098941459,0.0,2945.6482906788815
2030-10-02 22:00:00,0.0,106.35876005552,129.35625625226,0.0,0.42811351,0.0,0.0,10.5295751463,0.0,2573.0643372189174
2030-10-02 23:00:00,0.0,106.01205808368,129.26084110575,0.0,0.42811351,0.0,0.0,10.6767832856,0.0,2367.718209736662
2030-10-03 00:00:00,0.0,106.02698859042,129.26495010023,0.0,0.42811351,0.0,0.0,10.8279299289,0.0,2499.6759260488343
2030-10-03 01:00:00,0.0,106.03820755875999,129.26803764975,0.0,0.42811351,0.0,0.0,11.0600928166,0.0,2463.45706233811
2030-10-03 02:00:00,0.0,106.03565587611,129.26733540634,0.0,0.42811351,0.0,0.0,11.1665500934,0.0,2399.412165333361
2030-10-03 03:00:00,0.0,106.00257889896,129.25823235855,0.0,0.42811351,0.0,0.0,11.307696677,0.0,2373.145656724691
2030-10-03 04:00:00,0.0,106.38974929232,129.36478473726,0.0,0.42811351,0.0,0.0,11.2565045093,0.0,2466.277585082046
2030-10-03 05:00:00,0.0,109.3950726133,130.19187367320998,0.0,0.42811351,0.0,0.0,11.4598697623,0.0,2885.4813994166257
2030-10-03 06:00:00,0.0,109.3910552948,130.19076807512,0.0,0.42811351,0.0,0.0,11.6810845003,0.0,3430.122637027282
2030-10-03 07:00:00,0.0,108.9888700416,130.08008348727,0.0,0.42811351,0.0,18.5949455064,11.7730397793,0.0,3656.5472723208277
2030-10-03 08:00:00,0.0,109.5075680769,130.22283332158,0.0,0.42811351,0.0,83.4659101445,11.7433166891,0.0,3705.4545118114465
2030-10-03 09:00:00,0.0,109.5553541338,130.23598442538,0.0,0.42811351,0.0,176.181370953,11.7492577935,0.0,3703.116858016623
2030-10-03 10:00:00,0.0,109.5188713984,130.22594408576,0.0,0.42811351,0.0,240.819240677,11.8329011433,0.0,3702.483163531052
2030-10-03 11:00:00,0.0,109.4700309272,130.21250279874,0.0,0.42811351,0.0,256.940630839,11.8040931625,0.0,3705.2801109086495
2030-10-03 12:00:00,0.0,108.9864027121,130.07940445852,0.0,0.42811351,0.0,257.082211942,11.8618071196,0.0,3656.874487043991
2030-10-03 13:00:00,0.0,108.78242626229999,130.02326851347,0.0,0.42811351,0.0,260.497752528,11.896295159,0.0,3609.6311571439037
2030-10-03 14:00:00,0.0,108.4569285624,129.93368895163,0.0,0.42811351,0.0,238.145371878,11.9250053198,0.0,3598.4868258389365
2030-10-03 15:00:00,0.0,109.044869986,130.09549511839,0.0,0.42811351,0.0,170.69498212,11.9032029767,0.0,3725.121480068255
2030-10-03 16:00:00,0.0,109.3934593594,130.19142969288,0.0,0.42811351,0.0,90.807090134,11.8676709907,0.0,3864.261019876806
2030-10-03 17:00:00,0.0,109.5562609301,130.23623398294998,0.0,0.42811351,0.0,20.5792144066,11.8017429615,0.0,3923.9700377590807
2030-10-03 18:00:00,0.0,109.5025912413,130.22146365676,0.0,0.42811351,0.0,0.0,11.6688840374,0.0,3892.0407545598287
2030-10-03 19:00:00,0.0,108.15304635598,129.85005814593,0.0,0.42811351,0.0,0.0,11.5188537582,0.0,3753.9092746926904
2030-10-03 20:00:00,0.0,109.3567657412,130.18133131661,0.0,0.42811351,0.0,0.0,11.2544941846,0.0,3501.0066625948198
2030-10-03 21:00:00,0.0,105.15236245795,129.02424601618,0.0,0.42811351,0.0,0.0,10.9285237618,0.0,3151.9233728070626
2030-10-03 22:00:00,0.0,101.84378957912,128.11370038446,0.0,0.42811351,0.0,0.0,10.780200111,0.0,2765.563736310025
2030-10-03 23:00:00,0.0,100.97539503526,127.87471128327999,0.0,0.42811351,0.0,0.0,10.2132328035,0.0,2517.8056668041145
2030-10-04 00:00:00,0.0,101.04256122731,127.893195954769,0.0,0.42811351,0.0,0.0,9.68528680694,0.0,2487.762412911986
2030-10-04 01:00:00,0.0,101.15930598057,127.925325041541,0.0,0.42811351,0.0,0.0,9.13594304656,0.0,2446.558353362509
2030-10-04 02:00:00,0.0,101.0040012957,127.882583954198,0.0,0.42811351,0.0,0.0,8.33558645963,0.0,2389.9377084706493
2030-10-04 03:00:00,0.0,101.03034056535999,127.889832731181,0.0,0.42811351,0.0,0.0,7.35101770586,0.0,2368.015174140366
2030-10-04 04:00:00,0.0,102.62018647373999,128.32737099919,0.0,0.42811351,0.0,0.0,6.44452857777,0.0,2470.1376962693657
2030-10-04 05:00:00,0.0,104.71497031064,128.90387221041,0.0,0.42811351,0.0,0.0,5.77342251933,0.0,2917.786184233952
2030-10-04 06:00:00,0.0,107.82923571898,129.76094287726,0.0,0.42811351,0.0,0.0,5.39124690198,0.0,3485.0538086783636
2030-10-04 07:00:00,0.0,109.5560500472,130.23617594631,0.0,0.42811351,0.0,71.7057106206,4.7914560259,0.0,3714.6142517355593
2030-10-04 08:00:00,0.0,109.0015441017,130.08357148964,0.0,0.42811351,0.0,226.799965265,4.13726566603,0.0,3751.2344647551636
2030-10-04 09:00:00,0.0,109.34159271909999,130.17715557999,0.0,0.42811351,0.0,376.319404399,3.91647095791,0.0,3715.83846654184
2030-10-04 10:00:00,0.0,109.4347080476,130.20278166066998,0.0,0.42811351,0.0,488.053555908,3.86867466748,0.0,3695.878368428863
2030-10-04 11:00:00,0.0,109.2578827665,130.15411793369,0.0,0.42811351,0.0,510.050530583,3.464070386,0.0,3686.3641458879897
2030-10-04 12:00:00,0.0,109.682917178,130.27109079205,0.0,0.42811351,0.0,450.379609629,3.4053173218,0.0,3633.2695804868868
