snapshot,BECCS,Biogas,Biomass,CCGT,DSR,Hard coal,Hydro,Oil,Other RES,PV,SCGT,Wind,Wind offshore,demand
2030-06-03 18:00:00,0.0,77.42259329378001,48.43152864502,0.0,0.0,0.0,3.97354505,0.0,0.0,29.7770542662,169.0,171.103038916,46.7565493346,1062.1726324597394
2030-06-03 19:00:00,0.0,77.49846796724,48.63401820089,488.98128732266986,0.0,0.0,3.97354505,0.0,0.0,10.5956838407,169.0,187.898864184,56.8621374345,1043.4440039972794
2030-06-03 20:00:00,0.0,77.45968121396001,48.53050655347,0.0,0.0,0.0,3.97354505,0.0,0.0,0.160741113259,169.0,199.262836036,66.3570054685,1005.6405703504353
2030-06-03 21:00:00,0.0,77.44154724939,48.4821117695,365.9277969150098,0.0,0.0,3.97354505,0.0,0.0,0.0,169.0,204.216253539,78.1936891621,947.2349436853139
2030-06-03 22:00:00,0.0,77.04781030696,47.43133138431,0.0,0.0,0.0,3.97354505,0.0,0.0,0.0,169.0,174.472070393,81.5124175195,870.8225138035815
2030-06-03 23:00:00,0.0,76.84213379801001,46.88243485463,0.0,0.0,0.0,3.97354505,0.0,0.0,0.0,169.0,159.880411509,53.4130635442,803.6178233573658
2030-06-04 00:00:00,0.0,76.78104838881,46.71941395696,261.25323806262986,0.0,0.0,3.97354505,0.0,0.0,0.0,169.0,146.130425287,32.6878045906,736.5454753363286
2030-06-04 01:00:00,0.0,76.74887256809001,46.63354515052,0.0,0.0,0.0,3.97354505,0.0,0.0,0.0,169.0,134.116651707,19.5651823744,718.8477517956302
2030-06-04 02:00:00,0.0,76.65465402805,46.38210063738,277.74805383836997,0.0,0.0,3.97354505,0.0,0.0,0.0,169.0,120.041019992,12.2573822782,706.0567558237352
2030-06-04 03:00:00,0.0,76.73296513422001,46.59109239162,0.0,0.0,0.0,3.97354505,0.0,0.0,0.0,169.0,109.96752614,10.0290993633,701.9817412196727
2030-06-04 04:00:00,0.0,76.82537498588,46.83770999099,0.0,0.0,0.0,3.97354505,0.0,0.0,0.00394400888399,169.0,103.40350962,5.54349969367,732.949120221283
2030-06-04 05:00:00,0.0,77.07865609437,47.513650681499996,0.0,0.0,0.0,3.97354505,0.0,0.0,7.45415163238,169.0,103.344197447,6.08653942378,874.0750780092463
2030-06-04 06:00:00,0.0,77.19656609807001,47.82832148261,0.0,0.0,0.0,3.97354505,0.0,0.0,31.0529265436,169.0,122.076021682,10.2509980294,1046.1750576494298
2030-06-04 07:00:00,0.0,77.21108268589,47.86706243906,0.0,0.0,0.0,3.97354505,0.0,0.0,76.2015641595,169.0,156.527906813,15.7393092599,1129.3909828522796
2030-06-04 08:00:00,0.0,77.20445802142001,47.84938295123,0.0,0.0,0.0,3.97354505,0.0,0.0,116.879365066,169.0,163.712423564,29.4435701605,1165.0379226440907
2030-06-04 09:00:00,0.0,77.2027474181,47.84481780068,529.3867075211201,0.0,0.0,3.97354505,0.0,0.0,147.765317574,169.0,154.627994349,43.6831306971,1173.4842604139274
2030-06-04 10:00:00,0.0,77.16577719999,47.74615400809,0.0,0.0,0.0,3.97354505,0.0,0.0,172.454000864,169.0,160.121409938,18.0240995425,1186.2941089829756
2030-06-04 11:00:00,0.0,77.14517345379001,47.69116802626,563.1841794415501,0.0,0.0,3.97354505,0.0,0.0,184.895646514,169.0,132.9496654,14.2459698944,1193.0853477769117
2030-06-04 12:00:00,0.0,77.18757562213,47.804328265929996,0.0,0.0,0.0,3.97354505,0.0,0.0,182.657407058,169.0,115.398149803,20.9435437517,1178.9412218480375
2030-06-04 13:00:00,0.0,77.21470398604,47.87672673711,0.0,0.0,0.0,3.97354505,0.0,0.0,172.979653064,169.0,99.3570347733,48.7717820078,1163.15706030873
2030-06-04 14:00:00,0.0,77.37069649234,48.29302972572,514.7402564705401,0.0,0.0,3.97354505,0.0,0.0,148.86261684,169.0,101.616783244,88.3842448274,1152.2411726537098
2030-06-04 15:00:00,0.0,77.70856026528,49.1946993107,0.0,0.0,0.0,3.97354505,0.0,0.0,114.988397403,169.0,123.102340133,135.350522353,1174.9166835524825
2030-06-04 16:00:00,0.0,77.70179239663,49.17663764857,0.0,0.0,0.0,3.97354505,0.0,0.0,84.8812890903,169.0,146.273276961,170.302647299,1181.480568445263
