snapshot,BECCS,Biogas,Biomass,CCGT,DSR,Hydro,Nuclear,Other RES,PV,SCGT,Wind,Wind offshore,demand
2030-01-02 08:00:00,0.0,225.80717392648,199.65980572039,1858.0,0.0,0.057038,1138.1,0.0,0.0,640.0,31.4032573651,210.820907361,4180.45835265917
2030-01-02 09:00:00,0.0,225.64130719791,199.48486532234,1858.0,0.0,0.057038,1138.1,0.0,80.7913500601,640.0,30.3128745152,216.588730355,4453.922986674702
2030-01-02 10:00:00,0.0,225.64039500691,199.48390323032,1858.0,0.0,0.057038,1138.1,0.0,257.499762595,640.0,26.0520226805,225.500583013,4605.050376056954
2030-01-02 11:00:00,0.0,225.61362220132,199.45566582969002,1858.0,0.0,0.057038,1138.1,0.0,429.184237021,640.0,21.3670161161,228.411725094,4678.378897160632
2030-01-02 12:00:00,0.0,225.62116298018,199.46361912368002,1858.0,0.0,0.057038,1138.1,0.0,539.688786082,640.0,18.9952085445,225.551791022,4698.507763727039
2030-01-02 13:00:00,0.0,225.63682225887,199.48013503660002,1858.0,0.0,0.057038,1138.1,0.0,547.859281957,640.0,18.584413291,218.774753648,4660.556382101639
2030-01-02 14:00:00,0.0,225.62745709802,199.47025755858002,1858.0,0.0,0.057038,1138.1,0.0,426.832801021,640.0,19.0065854738,212.245538404,4621.102320887941
2030-01-02 15:00:00,0.0,225.65588705058,199.50024275971,1858.0,0.0,0.057038,1138.1,0.0,207.159066221,640.0,19.6845943367,208.149939886,4678.424687769976
2030-01-02 16:00:00,0.0,226.22568715324,200.10121353684002,1858.0,0.0,0.057038,1138.1,0.0,0.0,640.0,21.8151084906,208.048110598,4880.583998013092
2030-01-02 17:00:00,0.0,226.24741250201998,200.12412736166002,1858.0,0.0,0.057038,1138.1,0.0,0.0,640.0,22.7804481237,205.760324003,5033.781621338925
2030-01-02 18:00:00,0.0,226.51696493992,200.40842555207,1858.0,0.0,0.057038,1138.1,0.0,0.0,640.0,23.6490773895,203.251648701,5025.777921226617
2030-01-02 19:00:00,0.0,223.45726351081998,197.18134444586002,1858.0,0.0,0.057038,1138.1,0.0,0.0,640.0,24.7334420818,196.5894582,4880.65346267897
2030-01-02 20:00:00,0.0,222.36645032035,196.03085877953,1858.0,0.0,0.057038,1138.1,0.0,0.0,640.0,25.9101952396,178.753104782,4612.679963775906
2030-01-02 21:00:00,0.0,223.0910644374,196.79511260646,1858.0,0.0,0.057038,1138.1,0.0,0.0,640.0,26.5068982814,155.633511448,4276.995548183634
2030-01-02 22:00:00,0.0,223.86852481921,197.61510363079,1858.0,0.0,0.057038,1138.1,0.0,0.0,640.0,27.7220625893,131.840426884,3884.356648087805
2030-01-02 23:00:00,0.0,224.8322850078,198.63158591430002,1858.0,0.0,0.057038,1138.1,0.0,0.0,640.0,28.7479500114,116.351794519,3547.7772908584707
2030-01-03 00:00:00,0.0,235.6031169652,209.9916316944,1858.0,0.0,0.057038,1138.1,0.0,0.0,640.0,29.4114945492,106.78500763,3384.9134879504372
2030-01-03 01:00:00,0.0,235.698288892,210.0920099613,1858.0,0.0,0.057038,1138.1,0.0,0.0,640.0,30.3186649011,100.949186878,3294.748974643519
2030-01-03 02:00:00,0.0,235.523011393,209.9071439806,1858.0,0.0,0.057038,1138.1,0.0,0.0,640.0,31.9387016336,97.6204606724,3177.9371302045292
2030-01-03 03:00:00,0.0,235.5576594475,209.94368744230002,1858.0,0.0,0.057038,1138.1,0.0,0.0,640.0,33.9722546069,94.2549426156,3075.7982168035323
2030-01-03 04:00:00,0.0,235.91385482639998,210.3193683393,1858.0,0.0,0.057038,1138.1,0.0,0.0,640.0,35.4324671783,88.21649619,3016.917723200792
2030-01-03 05:00:00,0.0,236.1592494062,210.57818712620002,1858.0,0.0,0.057038,1138.1,0.0,0.0,640.0,37.2529892938,84.1795082635,3118.6133710433
2030-01-03 06:00:00,0.0,239.0258400025,213.60159335280002,1858.0,0.0,0.057038,1138.1,0.0,0.0,640.0,39.3596337237,80.2810256075,3452.0437672531225
2030-01-03 07:00:00,0.0,238.9308505139,213.5014075043,1858.0,0.0,0.057038,1138.1,0.0,0.0,640.0,41.1021943179,79.6533133688,3868.651715085459
2030-01-03 08:00:00,0.0,239.7676641229,214.38399864910002,1858.0,0.0,0.057038,1138.1,0.0,0.0,640.0,44.996580171,79.271212519,4210.656480770311
2030-01-03 09:00:00,0.0,239.2300795654,213.817005755,1858.0,0.0,0.057038,1138.1,0.0,152.291569277,640.0,47.5622795919,75.962386848,4467.8165428515995
2030-01-03 10:00:00,0.0,239.0336392354,213.6098192396,1858.0,0.0,0.057038,1138.1,0.0,427.452997653,640.0,54.8221420035,58.88753803,4603.305037389199
