snapshot,BECCS,Biogas,Biomass,CCGT,DSR,Hard coal,Hydro,Other RES,PV,SCGT,Wind,Wind offshore,demand
2030-01-01 00:00:00,0.0,97.62899609032999,2147.3247336926,1200.0,0.0,0.0,1.97978176,0.0,0.0,2741.773230890411,17.9878955879,659.113963035,3176.2507958111682
2030-01-01 01:00:00,0.0,97.63857961302,2147.3490527222,1200.0,0.0,0.0,1.97978176,0.0,0.0,2669.054380242821,18.7551896362,652.202255292,3097.4214340169947
2030-01-01 02:00:00,0.0,97.59499858496,2147.2384620401003,1200.0,0.0,0.0,1.97978176,0.0,0.0,2573.9234513559804,21.0175021702,638.014857805,2990.211248467039
2030-01-01 03:00:00,0.0,97.53731537843,2147.0920858428003,1200.0,0.0,0.0,1.97978176,0.0,0.0,2476.7346767846116,22.4641790414,637.753099069,2894.0033326322855
2030-01-01 04:00:00,0.0,97.53812641920999,2147.09414393,1200.0,0.0,0.0,1.97978176,0.0,0.0,2396.2626302695303,23.3717577225,651.601365145,2828.2900000022028
2030-01-01 05:00:00,0.0,97.53527950054999,2147.0869196241,1200.0,0.0,0.0,1.97978176,0.0,0.0,2773.3324536801238,23.4172346299,652.513386568,2846.450445395399
2030-01-01 06:00:00,0.0,97.54024505634999,2147.0995201576,1200.0,0.0,0.0,1.97978176,0.0,0.0,2547.86824783289,24.9232483964,644.061360003,2973.9145979559976
2030-01-01 07:00:00,0.0,97.53430294124,2147.0844415192,1200.0,0.0,0.0,1.97978176,0.0,0.0,2748.3211199257003,27.2160603131,637.879678607,3170.4575798186966
2030-01-01 08:00:00,0.0,97.93348397192,2148.0973984056,1200.0,0.0,0.0,1.97978176,0.0,0.0,3040.3940563389206,27.7739550488,648.155442291,3474.776312574902
2030-01-01 09:00:00,0.0,98.08834310543999,2148.4903670430003,1200.0,0.0,0.0,1.97978176,0.0,15.33172346,3318.9505193796003,27.9746450302,666.496527818,3787.7541023463377
2030-01-01 10:00:00,0.0,100.54212215905,2154.717046667,1200.0,0.0,0.0,1.97978176,0.0,89.7897740397,3836.649736642,27.5677794239,676.521531464,3991.0037374585004
2030-01-01 11:00:00,0.0,100.69607094067,2155.1077052067003,1200.0,0.0,0.0,1.97978176,0.0,129.930270117,3535.009642759671,24.6500894072,642.260048555,4100.07580350115
2030-01-01 12:00:00,0.0,100.68647086611999,2155.0833441753,1200.0,0.0,0.0,1.97978176,0.0,138.636264346,3845.38907071,22.2769533452,616.507123811,4152.819967987203
2030-01-01 13:00:00,0.0,100.67541422853999,2155.0552869874,1200.0,0.0,0.0,1.97978176,0.0,133.513576897,3639.126098683301,18.073675745,581.607494335,4140.473523386338
2030-01-01 14:00:00,0.0,100.68334256597,2155.0754058392004,1200.0,0.0,0.0,1.97978176,0.0,94.2602337662,3686.4871204422707,17.6213564616,548.151756421,4114.701192012947
2030-01-01 15:00:00,0.0,100.68069426954,2155.0686855547,1200.0,0.0,0.0,1.97978176,0.0,32.451791629,3842.824374676901,18.0960741631,509.959444893,4171.503041703187
2030-01-01 16:00:00,0.0,100.69641852957,2155.1085872440003,1200.0,0.0,0.0,1.97978176,0.0,0.0,3845.9913341849997,20.536049282,509.423388278,4334.385040193117
2030-01-01 17:00:00,0.0,101.39389704895,2156.8785001783003,1200.0,0.0,0.0,1.97978176,0.0,0.0,3888.218922568,24.3654942031,511.119004568,4460.179024691305
2030-01-01 18:00:00,0.0,100.81011320552,2155.3970974589,1200.0,0.0,0.0,1.97978176,0.0,0.0,3852.874774814,29.442860938,512.370445198,4454.700315538816
2030-01-01 19:00:00,0.0,100.72884360894,2155.1908687276,1200.0,0.0,0.0,1.97978176,0.0,0.0,3847.954452571,33.9535075792,513.92925099,4321.52718012202
2030-01-01 20:00:00,0.0,100.75398587314,2155.2546694288003,1200.0,0.0,0.0,1.97978176,0.0,0.0,3761.020663245001,36.8159080443,513.990293725,4080.2574968349345
2030-01-01 21:00:00,0.0,100.76557217,2155.2840706736,1200.0,0.0,0.0,1.97978176,0.0,0.0,3491.3134862896413,38.234401528,504.220506735,3802.240013911708
2030-01-01 22:00:00,0.0,100.77103428138,2155.2979312604,1200.0,0.0,0.0,1.97978176,0.0,0.0,3168.809197308461,32.835337779,526.078715577,3496.2141927249213
2030-01-01 23:00:00,0.0,100.77399706301,2155.3054495787,1200.0,0.0,0.0,1.97978176,0.0,0.0,2928.745143821131,34.8046716064,508.955421647,3241.0066602266616
2030-01-02 00:00:00,0.0,100.90641188430999,2155.6414638049,1200.0,0.0,0.0,1.97978176,0.0,0.0,2699.177646578731,35.5261270303,530.304394508,3033.978020318957
2030-01-02 01:00:00,0.0,100.90556773982999,2155.6393217142004,1200.0,0.0,0.0,1.97978176,0.0,0.0,2559.1438445220106,38.5158503952,592.442220285,2959.068781172005
2030-01-02 02:00:00,0.0,100.91088088453,2155.652804285,1200.0,0.0,0.0,1.97978176,0.0,0.0,2382.6906378594117,42.1476452423,661.712192995,2855.536137776171
2030-01-02 03:00:00,0.0,100.91634299591,2155.6666648718,1200.0,0.0,0.0,1.97978176,0.0,0.0,2212.5081426416305,46.8591665149,737.156362382,2765.528655920614
2030-01-02 04:00:00,0.0,100.21850033577999,2153.8958278984,1200.0,0.0,0.0,1.97978176,0.0,0.0,2041.0166553545607,52.0406512825,851.615064035,2711.208675424146
2030-01-02 05:00:00,0.0,99.08471498019999,2151.0187480891,1200.0,0.0,0.0,1.97978176,0.0,0.0,1986.3170304060416,54.0223455549,980.004653596,2782.8694691403957
